Unboxed Coworking,CITY,ADDRESS,POC,STATE,AREA,DAY PASS,CATEGORY AS PER PRICING,STATUS,AMENITIES,FLEXI DESK _MONTHLY,DD_MONTHLY,PC_MONTHLY,CATEGORY AS PER SAP,ALT NAME,avg_rating,review_count,seats_available,Offering
Innov8 Ras Vilas,delhi nct,"Lower Ground Floor, Saket Salcon Rasvilas, Saket District Centre, Sector 6, Pushp Vihar, Next to Select City Walk Mall, Delhi 110017",Mayank Rathaur	,Delhi (NCT),sector 6,400,gold,live,"[""Wifi"",""Power Socket"",""Tea/Coffee"",""Common Area"",""Reception"",""Printer/Scanner"",""Easy Accessibility""]",8799,0,10999,gold,Innov8 Ras Vilas,3.9,378,24,"Day Pass, Flexi Desk, Private Cabin"
Qutab Institutional Area,delhi nct,"1st Floor, Nagari Pracharani Trust Near Kamakshi Devi Temple, Aruna Asaf Ali Marg",,Delhi (NCT),vasant kunj,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1850,3500,13000,platinum,Qutab Institutional Area,4.9,28,69,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Rajarhat,kolkata,"Rajarhat, 2A, 6TH Floor, Ecospace Business Park Premises, AA II, Kolkata, West Bengal 700156",,West Bengal,newtown,400,gold,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1350,2000,9000,gold,Rajarhat,4.1,370,48,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
St. Mark Road,bengaluru," Samrah Plaza, St Marks Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",,Karnataka,ashok nagar,500,gold,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1200,2500,11000,gold,St. Mark Road,4.6,97,20,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Spring House Coworking,delhi nct,"2nd Floor, B1/638A, Janakpuri, New Delhi, Delhi 110058",Pranshu Singh,Delhi (NCT),rajendra place,500,gold,live,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception""]",7500,0,9500,gold,Spring House Coworking,3.6,492,62,"Day Pass, Flexi Desk, Private Cabin"
Spring House Coworking,noida,"B 8, Block B, Industrial Area, Sector 62, Noida, Uttar Pradesh 201309, India",Mariya,Uttar Pradesh,sector 62,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",4500,0,6000,gold,Spring House Coworking,3.7,231,5,"Flexi Desk, Private Cabin"
WorkFlo,noida,"Plot D-2, Sector 2, Near sec 16 metro, Noida, UP",,Uttar Pradesh,sector 2,400,gold,not live,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,6999,7499,standard,WorkFlo,3.8,11,34,"Day Pass, Dedicated Desk, Private Cabin"
Vashi Raghuleela,mumbai,"2nd Floor, Raghuleela, Arcade Vishwaroop, Infotech Pvt. Ltd. Plot No 34, 35, 38,, Mumbai, Maharashtra 400703",,Maharashtra,vashi,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,3500,13000,platinum,Vashi Raghuleela,4.0,282,37,"Day Pass, Dedicated Desk, Private Cabin"
Spring House Coworking,gurgaon,"603 – 604, Welldone Tech Park, Sohna Road, Sec–48, Gurgaon",Sumit Pandey ,Haryana,sector 48,500,gold,live,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception""]",6500,0,7500,gold,SGGU008,4.4,239,82,"Day Pass, Flexi Desk, Private Cabin"
Spring House Coworking-I,gurgaon,"LG 006, DLF Grand Mall, MG road, near Sikanderpur metro station, Gurugram, Haryana 122001",Divya,Haryana,sector 28,850,platinum+,live,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception""]",12000,0,15000,platinum+,SHGU001,4.1,495,6,"Day Pass, Flexi Desk, Private Cabin"
Nelson Mandela Marg,delhi nct,"B-7, Allied House, Plot no. 5 and 6, Shopping complex, Vasant Kunj, New Delhi, Delhi 110070",,Delhi (NCT),sultanpur,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,3500,13000,platinum,Nelson Mandela Marg,4.8,458,9,"Day Pass, Dedicated Desk, Private Cabin"
Camp,pune,"2nd Floor, Nucleus mall, Opposite Police Commissioner Office, 1 Church Road, Camp, Pune, Maharashtra 411001",,Maharashtra,agarkar nagar,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,platinum,Camp,4.6,93,82,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Awfis-Zirakpur,chandigarh,"Motiaz Royal Citi 2nd floor, Chandigarh-Ambala Highway, Zirakpur, Punjab 140603",,Chandigarh (UT),utrathiya,0,standard,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,0,9000,standard,Awfis-Zirakpur,4.7,259,95,Private Cabin
Regus Caddie,delhi nct,"Caddie Commercial Tower 5th floor, New Delhi, Delhi 110037",,Delhi (NCT),pitam pura,1000,platinum+,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Parking""]",0,24099,25699,platinum+,Regus Caddie,3.5,168,12,"Day Pass, Dedicated Desk, Private Cabin"
Spring House Coworking-I,delhi nct,"639, B1 Rd, Block B 2B, Janakpuri, New Delhi, Delhi 110058, India",Pranshu Singh,Delhi (NCT),rajendra place,500,gold,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",7500,0,9500,gold,Spring House Coworking-I,4.4,98,59,"Day Pass, Flexi Desk, Private Cabin"
Whitefield Mascot,bengaluru,"1st Floor, Mascot 90, No.80, EPIP Industrial Area, Block-II, Whitefield, Bengaluru, Karnataka 560066",,Karnataka,brookefield,500,gold,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1200,2500,11000,gold,Whitefield Mascot,4.5,129,82,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Krastay-I,delhi nct," H-294, Building 2, Lane 2, First Floor, Westend Marg, near Saket, Saidulajab, New Delhi, Delhi 110030",,Delhi (NCT),okhla industrial estate,0,standard,not live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",6500,7500,30000,silver,Krastay-I,4.3,351,66,"Flexi Desk, Dedicated Desk, Private Cabin"
WorkFlo Goa,north goa,"Plot No. 13/ A, 3, patto, near income tax department investigation Wing, Patto Centre, Panaji, Goa 403001",,Goa,patto centre,0,standard,not live,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception""]",0,5400,6199,standard,WorkFlo Goa,3.6,129,23,"Dedicated Desk, Private Cabin"
ABL Workspaces,noida,"B-6, Amaltash Marg, Block B, Sector 4, Noida, Uttar Pradesh 201301, India",YASHVI,Uttar Pradesh,sector 4,0,standard,live,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Reception"",""Wifi""]",6900,0,9000,gold,ABL Workspaces,3.5,191,71,"Flexi Desk, Private Cabin"
Unboxed Coworking,noida,"C 15, C Block Road, C Block, Sector 65, Noida, Uttar Pradesh 201301, India",tejashwi,Uttar Pradesh,sector 65,0,standard,live,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Socket"",""Locker/Storage""]",5500,0,6500,gold,Unboxed Coworking,3.9,210,97,"Flexi Desk, Private Cabin"
Spring House Coworking,gurgaon,"Plot No. 1SP, Sector 27, Gurugram, Haryana 122009  122022, India",Harshit Rathore,Haryana,sector 27,500,gold,live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",7500,0,9500,gold,SHGU005,3.8,200,82,"Day Pass, Flexi Desk, Private Cabin"
Corenthum,noida,"Level 7, The Corenthum, Sector 62, Noida",,Uttar Pradesh,sector 62,500,gold,not live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1200,2500,11000,gold,Corenthum,4.8,373,13,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Lokhandwala 2,mumbai,"Aston Building, 15th Floor, Lokhandwala Complex, Andheri West, Mumbai, Maharashtra 400053",,Maharashtra,andheri west,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,platinum,Lokhandwala 2,4.3,255,43,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
ABL Workspaces,delhi nct,"g, 56, Green Park Ext Rd, Block J, Green Park Extension, Green Park, New Delhi, Delhi 110016, India",AMAN 	,Delhi (NCT),green park extension,500,gold,live,"[""Wifi"",""Stationary"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup"",""Reception"",""Wifi""]",12000,0,15000,gold,ABL Workspaces,4.6,232,81,"Day Pass, Flexi Desk, Private Cabin"
Regus Elegance,delhi nct,"2/F, Elegance, Tower A, Old, Mathura Road, Badarpur, New Delhi, Delhi 110025",,Delhi (NCT),nehru place,700,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Parking"",""Meeting Room"",""F&B Cafe""]",0,15762,18399,platinum,Regus Elegance,4.2,80,13,"Day Pass, Dedicated Desk, Private Cabin"
WorkFlo Umiya Emporium,bengaluru,"4th and 5th Floor, Umiya Emporium, Hosur Rd, opposite The Forum Mall, Tavarekere, Kaveri Layout, Koramangala, Bengaluru, Karnataka 560029, India","Akshata Mugalihal,ShivamKotha",Karnataka,koramangala,400,gold,not live,"[""Wifi"",""Power Socket"",""Tea/Coffee"",""Meeting Room"",""Reception""]",0,6499,7399,gold,WorkFlo Umiya Emporium-I,3.6,296,21,"Day Pass, Dedicated Desk, Private Cabin"
Ambience Mall,gurgaon,"7th Floor, Ambience Mall, NH-8 Ambience Island, DLF Phase 3",Awfis,Haryana,dlf phase 3,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,3500,13000,platinum,SW Canis Minor NH-8,4.3,308,68,"Day Pass, Dedicated Desk, Private Cabin"
Spring House Coworking,gurgaon,"Sector 44, Delta Towers, plot no – 54, Gurgaon, Haryana",Prashant Mishra,Haryana,sector 44,500,gold,live,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception""]",4500,0,6000,gold,Spring House Coworking,4.7,196,71,"Day Pass, Flexi Desk, Private Cabin"
Team Co Work-I,delhi nct,"55, 2nd Floor, Westend Marg, Saidullajab, Gali Number 2, New Delhi, Delhi 110030",,Delhi (NCT),netaji subhash place,350,silver,not live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Smoking Room"",""Printer/Scanner""]",6000,6500,7500,silver,Team Co Work-I,3.5,145,28,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
BKC,mumbai,"10th Floor, Parinee Cresenzo, C-30, G Block, Bandra Kurla Complex, Bandra East BKC Mumbai 400051",,Maharashtra,bandra kurla complex,800,platinum+,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",2250,4500,20000,platinum+,BKC,4.4,302,89,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Spring House Coworking-II,gurgaon,"4th Floor, JMD Regent Arcade, MG Road, near Sikanderpur metro station, Gurugram, Haryana 122001",Anup Samal ,Haryana,sector 28,850,platinum+,live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area""]",12000,0,15000,platinum+,SHGU006,3.9,62,14,"Day Pass, Flexi Desk, Private Cabin"
Space 1,delhi nct,"68, Okhla Phase III, Okhla Industrial Area, New Delhi, Delhi 110020",,Delhi (NCT),,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Smoking Room""]",0,0,3750,standard,Stylework Space,3.8,209,63,Private Cabin
ABL Workspaces,gurgaon,"Plot no. 44, Sector 44, Gurgaon, Haryana",,Haryana,sector 44,500,gold,not live,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Reception"",""Wifi""]",7450,9000,9000,gold,ABL Workspaces,4.6,485,44,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Innov8 Fairmount,mumbai,"Plot number 4 and 6, Palm Beach Rd, Sector 17, Sanpada, Navi Mumbai, Maharashtra 400705",,Maharashtra,andheri east,0,standard,not live,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception""]",0,5400,6199,standard,Innov8 Fairmount,3.8,356,58,"Dedicated Desk, Private Cabin"
Innov8 Rasvilas Saket,delhi nct,"Lower Ground Floor, Saket Salcon Rasvilas, Saket District Centre, Sector 6, Pushp Vihar, Saket, New Delhi, Delhi 110017",,Delhi (NCT),janakpuri,0,standard,not live,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception""]",0,7199,8449,standard,Innov8 Rasvilas Saket,4.0,377,31,"Dedicated Desk, Private Cabin"
Innov8 Vikhroli,mumbai,"P2-4, Kailash Business Park, C-WING, Park Site Rd, HMPL Surya Nagar, Vikhroli West, Mumbai, Maharashtra- 400079",,Maharashtra,andheri east,0,standard,not live,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Reception""]",0,5400,6199,standard,Innov8 Vikhroli,4.9,126,40,"Dedicated Desk, Private Cabin"
Novel Office,bengaluru,"46/4, Hosur Rd, Kudlu Gate, Krishna Reddy Industrial Area, H.S, R Extension, Bengaluru, Karnataka 560068","Vedik , Saajan Charles",Karnataka,garvebhavi palya,650,platinum,live,"[""Parking"",""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""24*7 Access"",""Reception"",""Power Backup""]",0,0,0,platinum,Novel Office,3.6,343,89,Day Pass
WorkFlo Ranka - OYO Corporate Office ,bengaluru,"Plot number:224, Ranka Group Building, F C I Godown Main Rd, Krishna Reddy Industrial Estate, Dooravani Nagar, Bengaluru, Karnataka 560016, India",Jessy Veronica,Karnataka,dooravani nagar,400,gold,not live,"[""Wifi"",""Power Socket"",""Tea/Coffee"",""Meeting Room"",""Reception""]",0,5499,7499,gold,WorkFlo Ranka,4.4,315,64,"Day Pass, Dedicated Desk, Private Cabin"
Godrej Eternia,pune,"A3 Godrej Enternia 7th & 8th Floor Old Mumbai Pune Highway, Shivaji Nagar Wakdewadi Rd, Pune, Maharashtra 411005",,Maharashtra,pimpri colony,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,11000,platinum,Godrej Eternia,3.5,237,74,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Camac Street,kolkata,"4th Floor, Sri Manjari, 1, Camac Street, Kolkata, West Bengal 700016",,West Bengal,taltala,500,gold,not live,"[""Wifi"",""Stationary"",""Printer/Scanner"",""Tea/Coffee""]",1200,2500,11500,gold,Camac Street,4.4,443,17,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Space 3,delhi nct,"68, Okhla Phase III, Okhla Industrial Area, New Delhi, Delhi 110020",Contact,Delhi (NCT),,0,standard,live,[],0,0,0,standard,,3.9,99,61,No Offering
Awfis-Sector 44 Gurugram,gurgaon,"7, Sector 44, Gurugram, Haryana 122022",,Haryana,sector 44,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,3500,14000,platinum,SW Canis Major Sec 44,4.5,496,28,"Day Pass, Dedicated Desk, Private Cabin"
Innov8 Koramangala,bengaluru,"No. 3, 20 Main Rd, 7th Block, Koramangala industrial layout, Koramangala, Bangalore 560095",,Karnataka,kaikondrahalli,0,standard,not live,"[""Wifi"",""Power Socket"",""Tea/Coffee"",""Meeting Room"",""Reception""]",0,5400,6199,standard,Innov8 Koramangala,4.2,128,18,"Dedicated Desk, Private Cabin"
Space 4,delhi nct,"68, Okhla Phase III, Okhla Industrial Area, New Delhi, Delhi 110020",Contact,Delhi (NCT),,0,standard,live,[],0,0,0,standard,,3.7,485,21,No Offering
Regus Spaces Noida Max Tower,noida,"Plot no C, Sector 16 B, DND flyway Max Towers, 001A, Noida, Uttar Pradesh 201301",,Uttar Pradesh,sector 18,600,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""F&B Cafe""]",0,17190,0,platinum,Regus Spaces Noida Max Tower,3.6,93,8,"Day Pass, Dedicated Desk"
Spring House Coworking,gurgaon,"1003, DLF Phase IV, Sector 28, Gurugram, Haryana 122002, India",,Haryana,sector 28,350,silver,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",6000,0,7500,silver,Spring House Coworking,4.3,425,83,"Day Pass, Flexi Desk, Private Cabin"
GoHive,gurgaon,"GoHive Suncity, 402, Suncity Arcade, Golf Course Road, Suncity, Sector 54, Gurugram, Haryana 122002",,Haryana,sector 48,0,standard,not live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Parking""]",0,8000,10000,standard,GoHive,3.6,308,81,"Dedicated Desk, Private Cabin"
Space 5,delhi nct,"Level 2, Augusta Point, Golf Course Road, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122002, India",Person Name,Delhi (NCT),kalkaji,0,standard,live,[],8000,0,0,platinum+,Space 5,4.2,158,24,Flexi Desk
Cessna Business Park,bengaluru,"8th Flooor Umiya Business Bay No.2 Cessna Business Park, Outer Ring Rd, Kaverappa Layout, Kadubeesanahalli, Bengaluru, Karnataka 560103",,Karnataka,kadabeesanahalli,500,gold,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",2500,2500,13000,gold,Cessna Business Park,4.3,317,29,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Regus District Centre,delhi nct,"B Wing Prius Platinum Tower 1st Floor, New Delhi, Delhi 110017",Sanjeet,Delhi (NCT),saket,1150,platinum+,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Parking"",""Meeting Room"",""F&B Cafe""]",0,19149,20090,platinum+,Regus District Centre,4.2,309,24,"Day Pass, Dedicated Desk, Private Cabin"
WorkFlo VKG Centre,mumbai,"4th Floor, VKG Corporate Center, Marol Pipeline Road, Chakala, Andheri East, Mumbai - 400059",,Maharashtra,andheri east,0,standard,not live,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception""]",0,5400,6199,standard,WorkFlo VKG Centre,4.9,231,55,"Dedicated Desk, Private Cabin"
ABL Workspaces,gurgaon,"Building No. 8A, Ground Floor, Cyber Hub, DLF Cyber City, Gurugram, Haryana 122002",,Haryana,sector 48,500,gold,not live,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Food"",""Reception"",""Wifi""]",11900,20000,20000,gold,ABL Workspaces,3.8,76,87,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Hinjawadi,pune,"Floor - 5, Midas Tower, Plot - 44, Phase 1, Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Maharashtra 411057",,Maharashtra,hinjawadi,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,0,platinum,Hinjawadi,3.6,388,98,"Day Pass, Flexi Desk, Dedicated Desk"
Golf Course Road,gurgaon,"Level 2, Augusta Point, Sector 53",,Haryana,sector 53,800,platinum+,not live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",2500,3800,14000,platinum+,Golf Course Road,3.9,455,15,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Qutab C Block,delhi nct,"Ground Floor, C 28-29, Block C, Qutab Institutional Area, New Delhi, Delhi 110016",,Delhi (NCT),qutab institutional area,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,platinum,Qutab C Block,4.9,414,83,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
ABL Workspaces,gurgaon,"2nd Floor, Two Horizon Centre, Golf Course Road, DLF Phase 5, Sector 43, Gurugram, Haryana 122002",,Haryana,dlf phase 5,500,gold,not live,"[""Parking"",""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Wifi""]",13900,30000,30000,gold,ABL Workspaces,3.5,417,62,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
BKC 2,mumbai,"Parinee Crescenzo, 1B-102 or 1B- 1st Floor, G Block BKC, Bandra Kurla Complex, Bandra East BKC Mumbai 400051",,Maharashtra,bandra east,800,platinum+,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",2250,4500,20000,platinum+,BKC 2,4.3,482,28,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
WorkFlo By OYO,chennai,"Phase 1, workflows by oyo, GREETA TOWERS, Greeta Techpark, 99, Rajiv Gandhi Salai, Industrial Estate, Perungudi, Chennai, Tamil Nadu 600096, India",Boobalan S	,Tamil Nadu,perungudi,400,gold,not live,"[""Wifi"",""Power Socket"",""Tea/Coffee"",""Power Backup""]",3999,4599,5999,gold,WorkFlo Greeta Towers,4.2,498,84,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Sprout Box,delhi nct,"D-181, Okhla Industrial Area Phase 1, Pocket D, Okhla Phase I, Okhla Industrial Estate, New Delhi, Delhi 110020, India",Anam Shah,Delhi (NCT),okhla phase i,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Common Area"",""Reception"",""Food"",""Power Backup""]",8000,0,0,platinum+,Sprout Box,3.6,402,70,Flexi Desk
Mumbai Coworking,mumbai,"602, B, Annapurna Building, Off New Link Rd, near Adarsh Nagar, above Delicacy of China, Oshiwara, Andheri West, W, Mumbai, Maharashtra 400102, India",Farin,Maharashtra,andheri west,1000,platinum+,live,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,0,15000,platinum+,Mumbai Coworking,4.1,15,96,"Day Pass, Private Cabin"
CoWonders Magarpatta,pune,"Survey No 137, Marvel Fuego, Magarpatta Rd, opp. SEASONS MALL, Amanora Park Town, Hadapsar, Pune, Maharashtra 411028, India",Dhaval Parikh,Maharashtra,hadapsar,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Common Area"",""Reception"",""Power Backup""]",0,0,15000,standard,CoWonders Magarpatta,4.8,45,58,Private Cabin
Cowonder baner,pune,"Sr. No 5, The Capital, ROLLING HILLS, B-401, Baner - Pashan Link Rd, next to Nano Space IT Park, Baner, Pune, Maharashtra 411021",Dhaval Parikh,Maharashtra,baner,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Reception"",""Food"",""Power Backup""]",8000,0,12000,gold,Cowonder baner,4.8,316,56,"Flexi Desk, Private Cabin"
Innov8 Magnum Tower,gurgaon,"Magnum Towers, Golf Course Ext Rd, Sector 58, Gurugram, Haryana 122011",,Haryana,sector 50,0,standard,not live,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,5400,6199,standard,Innov8 Magnum Tower,4.9,177,18,"Dedicated Desk, Private Cabin"
Cygnus Off Link Road,mumbai,"Modi House, 2nd & 3rd Floor, Dalia Industrial Estate, Off, New Link Road, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053",,Maharashtra,jogeshwari west,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,platinum,Cygnus Off Link Road,4.0,310,49,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Regus Spaces,gurgaon,"Cyber City, 15th - 16th Floors, Tower-9A, DLF Phase 3, Gurugram, Haryana 122002",,Haryana,dlf phase 1,900,platinum+,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,18000,0,platinum+,Regus Spaces,4.4,225,17,"Day Pass, Dedicated Desk"
Lodha Supremus,mumbai,"16th Floor, Lodha Supremus Saki Vihar Road, Powai, opposite Mtnl Off Jvlr, Mumbai, Maharashtra 400072",,Maharashtra,powai,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,3500,13000,platinum,Lodha Supremus,4.3,309,49,"Day Pass, Dedicated Desk, Private Cabin"
Whizdom Club,delhi nct,"Savitri Cinema Complex, Inder Mohan Bhardwaj Marg, Block E, Greater Kailash II, Greater Kailash, New Delhi, Delhi 110048, India",Dhwani,Delhi (NCT),greater kailash,0,standard,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Smoking Room"",""Services(Courier/Admin)"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Services(HR/Admin/IT/Meeting Room)"",""F&B Cafe"",""Gaming Room"",""Food"",""Power Backup"",""Leased Line""]",6000,0,0,gold,Whizdom Club,3.8,262,100,Flexi Desk
Supremework,gurgaon,"121, Sector 44 Rd, Sector 44, Gurugram, Haryana 122003, India",prerna,Haryana,sector 44,0,standard,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup"",""F&B Cafe""]",5500,0,0,platinum,Supremework,4.5,230,24,Flexi Desk
Supremework,noida,"Film City Rd, Film City, Sector 16A, Noida, Uttar Pradesh 201301, India",Chetanya,Uttar Pradesh,film city,0,standard,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Power Backup""]",9000,0,0,platinum+,Supremework,3.6,311,62,Flexi Desk
Indiranagar,bengaluru,"3rd Floor, 721, Chinmaya Mission Hospital Rd, Indira Nagar 1st Stage, Stage 1, Indiranagar, Bengaluru, Karnataka 560038",,Karnataka,indiranagar,500,gold,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,2500,11000,gold,Indiranagar,4.4,25,37,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
