Unboxed Coworking,CITY,ADDRESS,POC,STATE,AREA,DAY PASS,CATEGORY AS PER PRICING,STATUS,AMENITIES,FLEXI DESK _MONTHLY,DD_MONTHLY,PC_MONTHLY,CATEGORY AS PER SAP,ALT NAME,avg_rating,review_count,seats_available,Offering
Empowerers Workspaces,delhi nct,"102,103, Thapar House, First Floor, Metro Gate: 2, Gulmohar Commercial Complex, Green Park, Delhi, New Delhi, Delhi 110049, India",Rahul Krishna,Delhi (NCT),green park,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Common Area"",""Reception"",""Food"",""Power Backup""]",10000,0,12000,gold,Empowerers Workspaces,4.2,377,84,"Flexi Desk, Private Cabin"
Empowerers Workspaces,delhi nct,"Lane 1, Ground Floor, D P House, Metro Station, Plot 133, Westend Marg, Saidulajab, Saiyad ul Ajaib, Saket, New Delhi, Delhi 110030, India",Rahul Krishna,Delhi (NCT),saket,500,gold,live,"[""Parking"",""Wifi"",""Power Socket"",""Locker/Storage"",""Common Area"",""Reception"",""F&B Cafe"",""Power Backup""]",10000,0,65000,gold,Empowerers Workspaces,4.0,318,79,"Day Pass, Flexi Desk, Private Cabin"
Empowerers Workspaces,delhi nct,"1, Hauz Khas Rd, Hauz Khas Market, Block E, Hauz Khas, New Delhi, Delhi 110016, India",Rahul Krishna,Delhi (NCT),connaught place,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Printer/Scanner"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,0,8000,gold,Empowerers Workspaces,5.0,311,92,Private Cabin
Boxally,lucknow,"14, Vibhuti Khand Rd, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India",Mr. Abhishek Agarwal,Uttar Pradesh,gomti nagar,0,standard,not live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Services(Courier/Admin)"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""Power Backup""]",4500,4500,17000,gold,Boxally,4.1,24,54,"Flexi Desk, Dedicated Desk, Private Cabin"
YesssWorks,pune,"2nd Floor, Pinnacle Business Park, Mahakali Caves Road, Andheri (E), Mumbai-400093.",Rahul Funde,Maharashtra,andheri east,0,standard,live,"[""Parking"",""Wifi"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",6000,0,0,platinum,YesssWorks,3.6,420,99,Flexi Desk
Boxally,patna,"Building, Danapur Main Road, Kurji, Patna, Bihar 800010, India",Mr. Abhishek Agarwal,Bihar,kurji,0,standard,not live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception"",""Power Backup""]",4000,4000,20000,gold,Boxally,4.7,366,92,"Flexi Desk, Dedicated Desk, Private Cabin"
YesssWorks,mumbai,"1st floor, 271 Business Park Model Industrial Estate, near Virwani Industrial Estate, off Western Express Highway, Vishveshwar Nagar, Goregaon, Mumbai, Maharashtra 400063",Rahul,Maharashtra,goregaon west,0,standard,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",6000,0,0,platinum,YesssWorks,4.4,451,56,Flexi Desk
Groworks-I,hyderabad,"2nd & 4th Floor, Kapil Towers, ISB Rd, Financial District, Nanakramguda, Hyderabad, Telangana 500032, India",PRAVEEN REDDY,Telangana,financial district,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""Power Backup""]",10500,0,12500,platinum+,Groworks-I,4.1,438,68,"Flexi Desk, Private Cabin"
Trios Baner,pune,"4th Floor, Windsor Commerce, Baner road, Near hotel wadeshwar, Pune, India - 411045",Sagar Subhedar,Maharashtra,vascon paradise society,700,platinum,not live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Food"",""Power Backup""]",7500,0,20000,platinum,Trios Baner,4.0,133,82,"Day Pass, Flexi Desk, Private Cabin"
Trios Lalwani Icon,pune,"Office No. 301, 202, Lalwani Icon, Sakore Nagar, Viman Nagar, Off New Airport, road, Pune, Maharashtra 411014",Sagar Subhedar,Maharashtra,viman nagar,700,platinum,not live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier/Mail Handling/Admin/Meeting Room)"",""Food"",""Power Backup""]",5500,8500,21000,platinum,Trios Lalwani Icon,4.2,59,54,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
